,alternativeSpellings,createdAt,department,id,name,updatedAt
0,,2016-03-24T08:34:47.875Z,102,5290,"Broilerin koipi, kypsä",2016-03-24T08:34:47.875Z
1,,2016-03-24T08:34:51.120Z,102,5300,"Broilerin minuuttipihvi, miedosti suolattu",2016-03-24T08:34:51.120Z
2,,2016-03-24T08:34:51.762Z,102,5302,"Broilerin ohut fileepihvi, hunajamarinoitu",2016-03-24T08:34:51.762Z
3,,2016-03-24T08:34:53.808Z,102,5308,"Broilerin reisipala, pintamaustettu",2016-03-24T08:34:53.808Z
4,,2016-03-24T08:34:54.194Z,102,5309,Broilerin rintaleike,2016-03-24T08:34:54.194Z
5,,2016-03-24T08:34:55.275Z,102,5312,"Broilerin rintaleike, pintamaustettu",2016-03-24T08:34:55.275Z
6,,2016-03-24T08:34:55.595Z,102,5313,"Broilerin sisäfilee, hunajamarinoitu",2016-03-24T08:34:55.595Z
7,,2016-03-24T08:34:57.005Z,102,5317,"Broilerin sisäfilee, miedosti suolattu",2016-03-24T08:34:57.005Z
8,,2016-03-24T08:34:57.644Z,102,5319,"Broilerinfileepihvi, hunajamarinoitu",2016-03-24T08:34:57.644Z
9,,2016-03-24T08:34:58.948Z,102,5323,"Broilerinfileesuikale, kermainen",2016-03-24T08:34:58.948Z
10,,2016-03-24T08:35:00.998Z,102,5329,"Broilerinfileesuikale, pintamaustettu chili",2016-03-24T08:35:00.998Z
11,,2016-03-24T08:35:02.300Z,102,5333,Broilerinpaistisuikale,2016-03-24T08:35:02.300Z
12,,2016-03-24T08:35:02.671Z,102,5334,"Broilerinpaistisuikale, hunajamarinoitu",2016-03-24T08:35:02.671Z
13,,2016-03-24T08:35:05.631Z,108,5343,Cappuccinojauhe,2016-03-24T08:35:05.631Z
14,,2016-03-24T08:35:06.016Z,108,5344,"Cappuccinojauhe, manteli",2016-03-24T08:35:06.016Z
15,,2016-03-24T08:35:06.336Z,108,5345,"Cappuccinojauhe, suklaa",2016-03-24T08:35:06.336Z
16,,2016-03-24T08:35:10.855Z,106,5359,Chilipippuri,2016-03-24T08:35:10.855Z
17,[],2016-03-24T08:35:00.612Z,102,5328,"Broilerinfileesuikale, maustettu",2016-08-05T09:14:52.301Z
18,,2016-03-24T08:39:30.938Z,100,6132,Marja,2016-03-24T08:39:30.938Z
19,[],2016-03-24T08:34:48.515Z,102,5292,"Broilerin koipipala, maustettu",2016-12-16T09:10:25.479Z
20,,2016-03-24T08:34:49.178Z,102,5294,"Broilerin koipireisi, maustamaton",2016-12-16T09:10:27.322Z
21,,2016-03-24T08:34:49.498Z,107,5295,"Broilerin maksa, pakaste",2016-12-16T09:10:29.482Z
22,,2016-03-24T08:34:49.817Z,102,5296,"Broilerin minuuttipihvi, currypintamaustettu",2016-12-16T09:10:30.219Z
23,,2016-03-24T08:34:50.135Z,102,5297,"Broilerin minuuttipihvi, hunajamarinoitu",2016-12-16T09:10:30.582Z
24,,2016-03-24T08:34:50.463Z,102,5298,"Broilerin minuuttipihvi, marinoitu",2016-12-16T09:10:31.301Z
25,,2016-03-24T08:34:51.440Z,102,5301,"Broilerin minuuttipihvi, yrtti-valkosipuli",2016-12-16T09:10:33.116Z
26,,2016-03-24T08:34:52.147Z,102,5303,"Broilerin ohut fileepihvi, marinoitu",2016-12-16T09:10:33.834Z
27,,2016-03-24T08:34:52.788Z,102,5305,"Broilerin ohutleike, hunajamarinoitu",2016-12-16T09:10:36.013Z
28,,2016-03-24T08:34:53.172Z,102,5306,"Broilerin ohutleike, maustamaton",2016-12-16T09:10:36.373Z
29,,2016-03-24T08:34:53.491Z,102,5307,"Broilerin paistileike, maustamaton",2016-12-16T09:10:39.619Z
30,,2016-03-24T08:34:54.512Z,102,5310,"Broilerin rintaleike, marinoitu",2016-12-16T09:10:47.268Z
31,,2016-03-24T08:34:54.937Z,102,5311,"Broilerin rintaleike, maustamaton",2016-12-16T09:10:47.627Z
32,,2016-03-24T08:34:55.978Z,102,5314,"Broilerin sisäfilee, marinoitu",2016-12-16T09:10:49.076Z
33,,2016-03-24T08:34:56.297Z,102,5315,"Broilerin sisäfilee, maustamaton",2016-12-16T09:10:49.435Z
34,,2016-03-24T08:34:57.324Z,102,5318,"Broilerin uunipala, marinoitu",2016-12-16T09:10:51.985Z
35,,2016-03-24T08:34:57.962Z,102,5320,"Broilerinfileesuikale, basilika",2016-12-16T09:10:57.421Z
36,,2016-03-24T08:34:58.280Z,102,5321,"Broilerinfileesuikale, hunaja-chili",2016-12-16T09:10:58.862Z
37,,2016-03-24T08:34:58.599Z,102,5322,"Broilerinfileesuikale, hunajamarinoitu",2016-12-16T09:10:59.583Z
